incomeBetween100to200,blockFips,incomeLessThan25,incomeBelowPoverty,medianIncome,incomeGreater200,educationBachelorOrGreater,incomeBetween50to100,educationHighSchoolGraduate,incomeBetween25to50,lat,lng
0.12741,360810713061000,0.1879,0.151,47557.0,0.0541,0.4042,0.27928,0.7527,0.35135,40.7267,-73.8569
0.24459,360610150022000,0.1015,0.166,168463.0,0.4659,0.8817,0.15641,0.9782,0.03161,40.7817,-73.9573
0.18831,360610175007000,0.12662,0.166,171459.0,0.4334,0.7027,0.13312,0.8866,0.11851,40.789,-73.9756
0.45807,360610090002000,0.05544,0.166,133983.0,0.2134,0.7465,0.22384,0.9856,0.0492,40.7522,-73.9702
0.13383,360810134001001,0.17077,0.151,62073.0,0.0345,0.3957,0.49343,0.8801,0.16749,40.7059,-73.8339
0.18512,360610185002000,0.11581,0.166,79115.0,0.1826,0.7321,0.27388,0.964,0.2426,40.7943,-73.9675
0.24725,360610134008000,0.16016,0.166,193324.0,0.4925,0.7512,0.08008,0.961,0.02002,40.7699,-73.9565
0.13759,360610135002004,0.49914,0.166,24809.0,0.0461,0.2212,0.13529,0.6487,0.18192,40.766,-73.9914
0.08814,360470243001002,0.37627,0.229,32758.0,0.0,0.1,0.31356,0.844,0.22203,40.6888,-73.9522
0.43389,360811551024000,0.17789,0.151,100238.0,0.0,0.386,0.28966,0.9213,0.09856,40.7493,-73.7142
0.15063,360610177004000,0.63738,0.166,20669.0,0.0279,0.3845,0.06276,0.8027,0.12134,40.7892,-73.9705
0.37749,360610108005000,0.06331,0.166,113552.0,0.1805,0.7041,0.18992,0.9926,0.18875,40.7571,-73.9647
0.35992,360610034004001,0.20817,0.166,77188.0,0.0447,0.4129,0.20039,0.7951,0.18677,40.7299,-73.9819
0.2198,360610154006000,0.19802,0.166,85577.0,0.1891,0.7647,0.26139,0.9432,0.13168,40.7796,-73.9493
0.36961,360810001001008,0.10451,0.151,126837.0,0.2405,0.6612,0.23092,0.8588,0.05441,40.7459,-73.9564
0.28631,360610074001004,0.05809,0.166,153115.0,0.4246,0.7419,0.17151,0.9599,0.05947,40.7467,-73.9854
0.21326,360610125001002,0.23055,0.166,83595.0,0.2392,0.7385,0.10231,0.9001,0.2147,40.7619,-73.9854
0.29461,360610042001000,0.13011,0.166,99462.0,0.2388,0.6243,0.2277,0.9669,0.10874,40.7341,-73.9896
0.09059,360610066009000,0.51103,,25818.0,0.0825,0.304,0.11614,0.7059,0.19977,40.7413,-73.9779
0.1172,360470575001001,0.27977,0.229,49200.0,0.0,0.1757,0.31002,0.538,0.29301,40.7351,-73.9531
0.18496,360610195003001,0.27917,0.166,65522.0,0.1521,0.4315,0.26448,0.6676,0.11927,40.8028,-73.9648
0.18201,360610039002001,0.35356,0.166,35996.0,0.022,0.4519,0.19456,0.8828,0.24791,40.7196,-74.0109
0.15175,360610146011000,0.02883,0.166,188366.0,0.4568,0.7242,0.33384,0.9627,0.02883,40.7777,-73.9532
0.3224,360610015022000,0.06116,0.166,147277.0,0.2827,0.8492,0.25597,0.9469,0.07776,40.7087,-74.0058
0.14483,360610179004001,0.13399,0.166,60758.0,0.1783,0.681,0.27094,0.9042,0.27192,40.7924,-73.9741
0.27033,360610155006000,0.12031,0.166,101760.0,0.2035,0.7472,0.25622,0.9826,0.14965,40.7756,-73.9846
0.32593,360610007001022,0.11065,0.166,120960.0,0.2567,0.8063,0.22559,0.9716,0.08112,40.7054,-74.0095
0.24629,360810645002003,0.1189,0.151,93496.0,0.1231,0.2863,0.3758,0.7798,0.13588,40.7108,-73.8543
0.04079,360610152002000,0.38228,0.166,38405.0,0.1154,0.406,0.27389,0.7407,0.18765,40.7802,-73.9444
0.08039,360470355002001,0.44212,0.229,27407.0,0.0,0.0857,0.18006,0.5765,0.29743,40.664,-73.9342
0.32115,360610050005001,0.167,0.166,108378.0,0.1996,0.7833,0.21443,0.9931,0.09783,40.7349,-73.9863
0.21818,360610110006001,0.17677,0.166,73118.0,0.1131,0.673,0.29293,0.9587,0.19899,40.7617,-73.9626
0.04179,360610251001007,0.37612,0.166,36040.0,0.0,0.0,0.25672,0.3134,0.32537,40.8394,-73.9381
0.1938,360610183007001,0.35401,0.166,45033.0,0.0568,0.5898,0.26227,0.8095,0.13308,40.7931,-73.9715
0.36451,360610146022000,0.03568,0.166,125599.0,0.2093,0.7764,0.29605,0.9487,0.0945,40.7788,-73.9538
0.19089,360470866001002,0.25813,0.229,49784.0,0.0,0.1733,0.34924,0.6762,0.20174,40.6578,-73.9259
0.1933,360610132004001,0.18037,0.166,80570.0,0.2154,0.7252,0.28006,0.9594,0.1309,40.769,-73.9541
0.23116,360470149001001,0.34673,0.229,62280.0,0.1709,0.4485,0.19096,0.6212,0.0603,40.6633,-73.9824
0.35644,360610140005001,0.13201,0.166,156453.0,0.4158,0.8039,0.09571,0.9836,0.0,40.7762,-73.9592
0.21818,360610110006003,0.17677,0.166,73118.0,0.1131,0.673,0.29293,0.9587,0.19899,40.7604,-73.9617
0.27778,360610157001000,0.10648,0.166,94956.0,0.2932,0.8828,0.28395,0.9979,0.03858,40.778,-73.9774
0.22919,360610161005000,0.17491,0.166,105496.0,0.263,0.7602,0.29554,0.9655,0.03739,40.7801,-73.9803
0.03749,360610089003001,0.45425,0.166,31773.0,0.1114,0.5451,0.27894,0.8181,0.11797,40.7447,-74.0052
0.20614,360470049001002,0.07456,0.229,98406.0,0.25,0.2837,0.3114,0.5032,0.1579,40.6896,-73.9982
0.14862,360810721005000,0.2796,0.151,69094.0,0.0579,0.4557,0.41562,0.9072,0.09824,40.7306,-73.8519
0.15323,360610067001001,0.14875,0.166,71117.0,0.2518,0.7241,0.33513,0.9562,0.11111,40.7318,-74.0016
0.45393,360610100001001,0.04096,0.166,141220.0,0.1775,0.6406,0.23891,0.9395,0.08874,40.7594,-73.9712
0.0,360610238010002,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,40.748,-73.9572
0.39763,360610139001000,0.17112,0.166,106307.0,0.1029,0.6124,0.18398,0.897,0.14441,40.7681,-73.9858
0.07948,360470062002001,0.34196,0.229,43839.0,0.0813,0.3484,0.30499,0.8235,0.19224,40.624,-74.0312
0.08212,360470519001009,0.2053,0.229,54796.0,0.0954,0.2682,0.37483,0.7426,0.24238,40.7161,-73.9548
0.3058,360610126007000,0.07892,0.166,89117.0,0.1628,0.7232,0.27497,0.9441,0.17756,40.7676,-73.9577
0.3224,360610015022003,0.06116,0.166,147277.0,0.2827,0.8492,0.25597,0.9469,0.07776,40.707300000000004,-74.0046
0.10296,360470392002005,0.38222,0.229,41721.0,0.0,0.2935,0.24961,0.7837,0.26521,40.5946,-73.9617
0.22564,360610070003001,0.10536,0.166,87058.0,0.2186,0.7447,0.28446,0.9357,0.16594,40.7426,-73.979
0.2073,360610146023000,0.19416,0.166,84365.0,0.1007,0.7148,0.39562,0.9858,0.10219,40.7793,-73.9496
0.39518,360470591003003,0.20594,0.229,81883.0,0.0,0.203,0.21336,0.709,0.18553,40.7216,-73.9423
0.33256,360610031001021,0.17326,0.166,112047.0,0.2105,0.5797,0.18954,0.8307,0.09419,40.7128,-74.0059
0.25729,360610146014000,0.07638,0.166,94037.0,0.1789,0.7391,0.3005,0.957,0.18694,40.7763,-73.9518
0.19578,360610137004000,0.11549,0.166,112867.0,0.3718,0.6241,0.24366,0.985,0.07324,40.7676,-73.9813
0.23963,360470360011001,0.37788,0.229,67903.0,0.0,0.3861,0.31951,0.8251,0.06298,40.5757,-73.9686
0.33016,360610155002000,0.09312,0.166,132894.0,0.2614,0.8135,0.17989,0.9694,0.13545,40.7777,-73.9883
0.18496,360610195003001,0.27917,0.166,65522.0,0.1521,0.4315,0.26448,0.6676,0.11927,40.8034,-73.9661
0.2027,360470481003003,0.28378,0.229,66208.0,0.0365,0.2799,0.37973,0.5998,0.0973,40.7133,-73.9395
0.16416,360610295003000,0.38266,0.166,36379.0,0.0162,0.219,0.26012,0.5715,0.17688,40.8678,-73.9251
0.2069,360610121004000,0.12723,0.166,58425.0,0.0285,0.5893,0.32818,0.8777,0.30916,40.7592,-73.9903
0.15175,360610146011000,0.02883,0.166,188366.0,0.4568,0.7242,0.33384,0.9627,0.02883,40.7779,-73.9525
0.32593,360610007001009,0.11065,0.166,120960.0,0.2567,0.8063,0.22559,0.9716,0.08112,40.7064,-74.01
0.08477,360610006006000,0.62772,0.166,19453.0,0.0,0.111,0.20046,0.4105,0.08706,40.7108,-73.9878
0.25169,360610167003000,0.04466,0.166,220755.0,0.5277,0.8879,0.12991,0.9852,0.04601,40.7856,-73.9794
0.23345,360610034002001,0.25253,0.166,54486.0,0.0281,0.4948,0.30303,0.8177,0.18294,40.7281,-73.9812
0.33135,360610066005000,0.07363,0.166,100893.0,0.1675,0.6205,0.22328,0.9552,0.20428,40.7393,-73.9817
0.10952,360610136008000,0.15238,0.166,74850.0,0.2347,0.822,0.3517,0.9844,0.1517,40.7736,-73.947
0.20083,360610110001000,0.12215,0.166,121752.0,0.3271,0.7341,0.27226,0.9496,0.07764,40.7633,-73.9628
0.35171,360610070006000,0.08365,0.166,101854.0,0.1369,0.7947,0.42776,0.9961,0.0,40.7444,-73.9754
0.25281,360810997044000,0.14361,0.151,80231.0,0.0569,0.4816,0.37326,0.9124,0.1734,40.7796,-73.7804
0.27366,360610126001000,0.07019,0.166,89629.0,0.1741,0.7615,0.34696,0.965,0.13505,40.7697,-73.9581
0.32593,360610007001007,0.11065,0.166,120960.0,0.2567,0.8063,0.22559,0.9716,0.08112,40.7075,-74.0113
0.25091,360610032001001,0.18339,0.166,62318.0,0.0182,0.6579,0.2938,0.9467,0.25365,40.7264,-73.9836
0.03656,360610182003003,0.55054,0.166,19686.0,0.0,0.3904,0.11398,0.5209,0.29893,40.7983,-73.9416
0.11994,360610078001000,0.14365,0.166,110657.0,0.3975,0.7027,0.22873,0.9488,0.11018,40.7481,-73.9748
0.13652,360610191004000,0.34072,0.166,61424.0,0.168,0.7405,0.25904,0.9047,0.09568,40.7993,-73.9689
0.30735,360610126002000,0.1919,0.166,122111.0,0.2324,0.7876,0.22789,0.9871,0.04048,40.7694,-73.9603
0.33772,360610144014000,0.04094,0.166,166850.0,0.3538,0.8127,0.23684,0.975,0.0307,40.7751,-73.9481
0.13567,360610181006000,0.10941,0.166,69927.0,0.1652,0.607,0.36871,0.92,0.22101,40.7922,-73.9645
0.25683,360610054003000,0.1587,0.166,117213.0,0.2816,0.8467,0.23806,1.0,0.06485,40.7366,-73.9934
0.08814,360470243001000,0.37627,0.229,32758.0,0.0,0.1,0.31356,0.844,0.22203,40.6896,-73.9527
0.23018,360610069001001,0.06467,0.166,149106.0,0.3887,0.8184,0.21975,0.9913,0.09666,40.7324,-74.0081
0.09059,360610066009000,0.51103,,25818.0,0.0825,0.304,0.11614,0.7059,0.19977,40.7412,-73.9772
0.24916,360610098004000,0.09699,0.166,96041.0,0.2324,0.7349,0.31104,0.9598,0.11037,40.754,-73.9678
0.17217,360610081003000,0.17913,0.166,67920.0,0.2296,0.7194,0.36174,0.9629,0.05739,40.7382,-73.9965
0.43219,360610137006000,0.09506,0.166,128992.0,0.256,0.7441,0.07224,0.9464,0.14449,40.764,-73.98
0.20938,360610077003000,0.16875,0.166,77725.0,0.2385,0.7218,0.27188,0.984,0.11146,40.7401,-74.0039
0.36961,360810001001005,0.10451,0.151,126837.0,0.2405,0.6612,0.23092,0.8588,0.05441,40.7481,-73.9564
0.32568,360610136007000,0.20765,0.166,79928.0,0.0492,0.7575,0.28197,0.9619,0.13552,40.7723,-73.948
0.13619,360610124001001,0.10914,0.166,73853.0,0.0905,0.7366,0.47948,0.9669,0.1847,40.7681,-73.9527
0.29044,360610146026000,0.0671,0.166,125518.0,0.2509,0.7294,0.24265,0.9438,0.1489,40.7777,-73.9498
0.18512,360610185002000,0.11581,0.166,79115.0,0.1826,0.7321,0.27388,0.964,0.2426,40.7951,-73.9676
0.08728,360470195002001,0.25686,0.229,55869.0,0.1721,0.5436,0.29676,0.9128,0.18703,40.6905,-73.9668
0.35087,360610129002006,0.12626,0.166,112467.0,0.1995,0.6611,0.16011,0.9118,0.16331,40.7612,-73.9978
0.12653,360610177008000,0.28299,0.166,76753.0,0.2694,0.5956,0.15918,0.8646,0.16191,40.7906,-73.9687
0.0,360610293003000,0.48052,0.166,27844.0,0.0,0.0555,0.17172,0.3844,0.34776,40.8666,-73.9217
0.12098,360610145004000,0.09074,0.166,75467.0,0.1096,0.7296,0.62004,0.9127,0.0586,40.7692,-73.9847
0.3224,360610015022006,0.06116,0.166,147277.0,0.2827,0.8492,0.25597,0.9469,0.07776,40.7075,-74.0059
0.06654,360470369004002,0.58904,0.229,16483.0,0.0,0.1043,0.08024,0.6115,0.26419,40.6812,-73.9105
0.10806,090010222002014,0.1012,0.093,59450.0,0.0446,0.1867,0.48542,0.5286,0.26072,41.0412,-73.54
