cv_folds,model,parameters,predictors,score,score_std,timestamp
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718107827817,0.002997799899,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719464078599,0.00355702324833,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.71689383719,0.00322170384041,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072806331,0.00444852258855,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784997454,0.00474588797096,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989564037572,0.00834284595509,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596449345,0.00439917504664,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976573643469,0.0112480445045,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106603069,0.0029992801485,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719260823911,0.00357468669747,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716893074968,0.00322277562514,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072346345,0.00444941526233,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784496528,0.0047458946783,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989630107729,0.00819235025566,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596076766,0.00439903980755,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976574490869,0.0112487294819,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106481481,0.00299942842013,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719261445704,0.00357503006281,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716892994748,0.00322288172419,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072289605,0.00444950886484,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784448117,0.00474589465894,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989629867243,0.00819232215246,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596330798,0.00439916701119,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976572056087,0.0112458459537,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106467631,0.00299944355365,2017-03-15 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 1000, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719259755215,0.00357459869986,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716892987305,0.00322289256619,2017-03-15 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1000, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072284745,0.00444951789927,2017-03-15 16:28
