cv_folds,model,parameters,predictors,score,score_std,timestamp
5.0,log,"{'multi_class': 'ovr', 'C': 1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719464079,0.003557023,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716893837,0.003221704,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 1, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072806,0.004448523,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784997,0.004745888,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989564038,0.008342846,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596449,0.004399175,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.976573643,0.011248045,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.718106603,0.00299928,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 10, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719260824,0.003574687,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'newton-cg', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.716893075,0.003222776,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 10, 'solver': 'lbfgs', 'class_weight': None}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.719072346,0.004449415,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.994784497,0.004745895,3/15/17 16:28
5.0,log,"{'multi_class': 'ovr', 'C': 100, 'solver': 'lbfgs', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.989630108,0.00819235,3/15/17 16:28
5.0,log,"{'multi_class': 'multinomial', 'C': 100, 'solver': 'newton-cg', 'class_weight': 'balanced'}","Index([u'bathrooms', u'bedrooms', u'price'], dtype='object')",-0.990596077,0.00439904,3/15/17 16:28
